name,ibu,abv,style_name
"""18"" Imperial IPA 2",,11.1,American Imperial Stout
"""18"" Imperial IPA 2",,11.1,American Imperial Stout
"""633"" American Pale Ale",25.0,6.33,American Pale
"""633"" American Pale Ale",25.0,6.33,American Pale
"""Admiral"" Stache",23.0,7.0,Baltic Porter
"""Admiral"" Stache",23.0,7.0,Baltic Porter
"""Ah Me Joy"" Porter",51.0,5.4,Robust Porter
"""Ah Me Joy"" Porter",51.0,5.4,Robust Porter
"""Alternating Currant"" Sour",12.0,4.8,Sour
"""Alternating Currant"" Sour",12.0,4.8,Sour
"""B"" Street Pineapple Blonde",,4.6,Blonde
"""B"" Street Pineapple Blonde",,4.6,Blonde
"""B.B. Rodriguez"" Double Brown",30.0,8.5,American Brown
"""B.B. Rodriguez"" Double Brown",30.0,8.5,American Brown
"""Bison Eye Rye"" Pale Ale | 2 of 4 Part Pale Ale Series",51.0,5.8,American Pale
"""Bison Eye Rye"" Pale Ale | 2 of 4 Part Pale Ale Series",51.0,5.8,American Pale
"""California Crude"" Black IPA",80.0,7.6,Black Ale
"""California Crude"" Black IPA",80.0,7.6,Black Ale
"""C’est Noir"" Imperial Stout",70.0,10.8,British Imperial Stout
"""C’est Noir"" Imperial Stout",70.0,10.8,British Imperial Stout
"""Dust Up"" Cloudy Pale Ale | 1 of 4 Part Pale Ale Series",54.0,5.4,American Pale
"""Dust Up"" Cloudy Pale Ale | 1 of 4 Part Pale Ale Series",54.0,5.4,American Pale
"""EVL1"" Imperial Red Ale",64.0,10.4,Imperial Red
"""EVL1"" Imperial Red Ale",64.0,10.4,Imperial Red
"""Galactic Wrath"" IPA",75.0,7.5,American IPA
"""Galactic Wrath"" IPA",75.0,7.5,American IPA
"""God Country"" Kolsch",28.2,5.6,Kölsch
"""God Country"" Kolsch",28.2,5.6,Kölsch
"""Hey Victor"" Smoked Porter",,5.5,Smoke Beer
"""Hey Victor"" Smoked Porter",,5.5,Smoke Beer
"""Ignition"" IPA",45.0,6.6,American IPA
"""Ignition"" IPA",45.0,6.6,American IPA
"""Jemez Field Notes"" Golden Lager",20.0,4.9,Blonde
"""Jemez Field Notes"" Golden Lager",20.0,4.9,Blonde
"""Jemmy Dean"" Breakfast Stout",,,Sweet Stout
"""Jemmy Dean"" Breakfast Stout",,,Sweet Stout
"""Mauvaises Choses""",30.0,7.0,Belgian Pale Strong
"""Mauvaises Choses""",30.0,7.0,Belgian Pale Strong
"""Mike Saw a Sasquatch"" Session Ale",26.0,4.7,Blonde
