index	name_x
Cascade	520
Two-Row Pale Malt	507
Caramel/Crystal Malt	358
Munich Malt	354
Chocolate Malt	306
Pale Malt	295
Centennial	274
Simcoe	224
Wheat Malt	216
Chinook	215
Columbus	213
Amarillo	196
Pilsner Malt	180
Citra	174
Barley - Roasted	155
Willamette	149
Nugget	130
CaraPils/Dextrin Malt	129
Magnum	123
Perle (American)	111
Black Malt	111
East Kent Golding	105
Vienna Malt	98
Sterling	86
Hallertauer (American)	84
Saaz (American)	82
Mosaic	79
Northern Brewer (American)	78
Warrior	76
Oats - Flaked	74
Mount Hood	73
Fuggles	72
Maris Otter	71
Two-Row Barley Malt	69
Golding (American)	68
Honey Malt	66
Tettnanger (American)	66
Aromatic Malt	60
American Ale	60
Caramel/Crystal Malt 60L	59
Barley - Malted	54
Victory Malt	54
Summit	53
Barley - Flaked	53
Two-Row Pale Malt - Organic	52
CaraMunich	52
Galena	52
Galaxy	47
Caramel/Crystal Malt 40L	46
Wheat Malt - White	46
