key,value,date
Brown Porter,1.0,1980
Brown Porter,1.0,1981
Brown Porter,1.0,1982
Brown Porter,3.0,1983
Brown Porter,15.0,1984
Brown Porter,8.0,1985
Brown Porter,12.0,1986
Brown Porter,9.0,1987
Brown Porter,11.0,1988
Brown Porter,15.0,1989
Brown Porter,12.0,1990
Brown Porter,5.0,1991
Brown Porter,13.0,1992
Brown Porter,21.0,1993
Brown Porter,40.0,1994
Brown Porter,38.0,1995
Brown Porter,44.0,1996
Brown Porter,44.0,1997
Brown Porter,14.0,1998
Brown Porter,14.0,1999
Brown Porter,14.0,2000
Brown Porter,11.0,2001
Brown Porter,10.0,2002
Brown Porter,6.0,2003
Brown Porter,9.0,2004
Brown Porter,17.0,2005
Brown Porter,27.0,2006
Brown Porter,26.0,2007
Brown Porter,33.0,2008
Brown Porter,46.0,2009
Brown Porter,92.0,2010
Brown Porter,80.0,2011
Brown Porter,113.0,2012
Brown Porter,97.0,2013
Brown Porter,56.0,2014
Brown Porter,33.0,2015
Brown Porter,1.0,2016
Hefeweizen,1.0,1980
Hefeweizen,1.0,1981
Hefeweizen,0.0,1982
Hefeweizen,1.0,1983
Hefeweizen,9.0,1984
Hefeweizen,3.0,1985
Hefeweizen,14.0,1986
Hefeweizen,11.0,1987
Hefeweizen,10.0,1988
Hefeweizen,14.0,1989
Hefeweizen,7.0,1990
Hefeweizen,4.0,1991
Hefeweizen,6.0,1992
Hefeweizen,20.0,1993
Hefeweizen,22.0,1994
Hefeweizen,19.0,1995
Hefeweizen,28.0,1996
Hefeweizen,31.0,1997
Hefeweizen,10.0,1998
Hefeweizen,15.0,1999
Hefeweizen,8.0,2000
Hefeweizen,12.0,2001
Hefeweizen,6.0,2002
Hefeweizen,7.0,2003
Hefeweizen,13.0,2004
Hefeweizen,9.0,2005
Hefeweizen,20.0,2006
Hefeweizen,18.0,2007
Hefeweizen,23.0,2008
Hefeweizen,28.0,2009
Hefeweizen,59.0,2010
Hefeweizen,62.0,2011
Hefeweizen,69.0,2012
Hefeweizen,40.0,2013
Hefeweizen,38.0,2014
Hefeweizen,20.0,2015
Hefeweizen,5.0,2016
Amber,2.0,1980
Amber,3.0,1981
Amber,0.0,1982
Amber,5.0,1983
Amber,18.0,1984
Amber,6.0,1985
Amber,18.0,1986
Amber,22.0,1987
Amber,22.0,1988
Amber,22.0,1989
Amber,16.0,1990
Amber,11.0,1991
Amber,13.0,1992
Amber,19.0,1993
Amber,40.0,1994
Amber,59.0,1995
Amber,58.0,1996
Amber,49.0,1997
Amber,29.0,1998
Amber,18.0,1999
Amber,17.0,2000
Amber,13.0,2001
Amber,18.0,2002
Amber,22.0,2003
Amber,33.0,2004
Amber,24.0,2005
Amber,40.0,2006
Amber,27.0,2007
Amber,43.0,2008
Amber,72.0,2009
Amber,78.0,2010
Amber,135.0,2011
Amber,143.0,2012
Amber,131.0,2013
Amber,82.0,2014
Amber,33.0,2015
Amber,5.0,2016
Belgian Tripel,2.0,1980
Belgian Tripel,1.0,1981
Belgian Tripel,2.0,1982
Belgian Tripel,2.0,1983
Belgian Tripel,2.0,1984
Belgian Tripel,6.0,1985
Belgian Tripel,2.0,1986
Belgian Tripel,3.0,1987
Belgian Tripel,7.0,1988
Belgian Tripel,15.0,1989
Belgian Tripel,11.0,1990
Belgian Tripel,0.0,1991
Belgian Tripel,1.0,1992
Belgian Tripel,10.0,1993
Belgian Tripel,15.0,1994
Belgian Tripel,27.0,1995
Belgian Tripel,23.0,1996
Belgian Tripel,15.0,1997
Belgian Tripel,15.0,1998
Belgian Tripel,7.0,1999
Belgian Tripel,9.0,2000
Belgian Tripel,4.0,2001
Belgian Tripel,6.0,2002
Belgian Tripel,2.0,2003
Belgian Tripel,9.0,2004
Belgian Tripel,16.0,2005
Belgian Tripel,12.0,2006
Belgian Tripel,13.0,2007
Belgian Tripel,25.0,2008
Belgian Tripel,21.0,2009
Belgian Tripel,42.0,2010
Belgian Tripel,60.0,2011
Belgian Tripel,54.0,2012
Belgian Tripel,49.0,2013
Belgian Tripel,25.0,2014
Belgian Tripel,13.0,2015
Belgian Tripel,1.0,2016
American Lager,3.0,1980
American Lager,0.0,1981
American Lager,0.0,1982
American Lager,2.0,1983
American Lager,11.0,1984
American Lager,3.0,1985
American Lager,10.0,1986
American Lager,5.0,1987
American Lager,2.0,1988
American Lager,13.0,1989
American Lager,2.0,1990
American Lager,6.0,1991
American Lager,2.0,1992
American Lager,6.0,1993
American Lager,10.0,1994
American Lager,14.0,1995
American Lager,26.0,1996
American Lager,19.0,1997
American Lager,4.0,1998
American Lager,3.0,1999
American Lager,8.0,2000
American Lager,6.0,2001
American Lager,5.0,2002
American Lager,5.0,2003
American Lager,15.0,2004
American Lager,5.0,2005
American Lager,15.0,2006
American Lager,12.0,2007
American Lager,25.0,2008
American Lager,22.0,2009
American Lager,32.0,2010
American Lager,56.0,2011
American Lager,40.0,2012
American Lager,33.0,2013
American Lager,32.0,2014
American Lager,11.0,2015
American Lager,3.0,2016
Witbier,0.0,1980
Witbier,2.0,1981
Witbier,2.0,1982
Witbier,1.0,1983
Witbier,6.0,1984
Witbier,3.0,1985
Witbier,8.0,1986
Witbier,1.0,1987
Witbier,3.0,1988
Witbier,9.0,1989
Witbier,5.0,1990
Witbier,1.0,1991
Witbier,5.0,1992
Witbier,7.0,1993
Witbier,18.0,1994
Witbier,27.0,1995
Witbier,38.0,1996
Witbier,23.0,1997
Witbier,16.0,1998
Witbier,11.0,1999
Witbier,3.0,2000
Witbier,4.0,2001
Witbier,8.0,2002
Witbier,6.0,2003
Witbier,18.0,2004
Witbier,16.0,2005
Witbier,17.0,2006
Witbier,16.0,2007
Witbier,20.0,2008
Witbier,32.0,2009
Witbier,73.0,2010
Witbier,72.0,2011
Witbier,82.0,2012
Witbier,55.0,2013
Witbier,44.0,2014
Witbier,26.0,2015
Witbier,4.0,2016
Kölsch,1.0,1980
Kölsch,0.0,1981
Kölsch,0.0,1982
Kölsch,2.0,1983
Kölsch,4.0,1984
Kölsch,3.0,1985
Kölsch,6.0,1986
Kölsch,4.0,1987
Kölsch,2.0,1988
Kölsch,10.0,1989
Kölsch,1.0,1990
Kölsch,1.0,1991
Kölsch,4.0,1992
Kölsch,4.0,1993
Kölsch,22.0,1994
Kölsch,15.0,1995
Kölsch,22.0,1996
Kölsch,12.0,1997
Kölsch,12.0,1998
Kölsch,6.0,1999
Kölsch,8.0,2000
Kölsch,5.0,2001
Kölsch,2.0,2002
Kölsch,2.0,2003
Kölsch,5.0,2004
Kölsch,6.0,2005
Kölsch,8.0,2006
Kölsch,13.0,2007
Kölsch,8.0,2008
Kölsch,17.0,2009
Kölsch,38.0,2010
Kölsch,47.0,2011
Kölsch,48.0,2012
Kölsch,37.0,2013
Kölsch,31.0,2014
Kölsch,32.0,2015
Kölsch,7.0,2016
Oatmeal Stout,2.0,1980
Oatmeal Stout,0.0,1981
Oatmeal Stout,0.0,1982
Oatmeal Stout,3.0,1983
Oatmeal Stout,1.0,1984
Oatmeal Stout,2.0,1985
Oatmeal Stout,5.0,1986
Oatmeal Stout,5.0,1987
Oatmeal Stout,7.0,1988
Oatmeal Stout,11.0,1989
Oatmeal Stout,3.0,1990
Oatmeal Stout,4.0,1991
Oatmeal Stout,5.0,1992
Oatmeal Stout,8.0,1993
Oatmeal Stout,9.0,1994
Oatmeal Stout,19.0,1995
Oatmeal Stout,28.0,1996
Oatmeal Stout,22.0,1997
Oatmeal Stout,9.0,1998
Oatmeal Stout,10.0,1999
Oatmeal Stout,2.0,2000
Oatmeal Stout,3.0,2001
Oatmeal Stout,4.0,2002
Oatmeal Stout,2.0,2003
Oatmeal Stout,8.0,2004
Oatmeal Stout,5.0,2005
Oatmeal Stout,18.0,2006
Oatmeal Stout,29.0,2007
Oatmeal Stout,26.0,2008
Oatmeal Stout,19.0,2009
Oatmeal Stout,24.0,2010
Oatmeal Stout,40.0,2011
Oatmeal Stout,44.0,2012
Oatmeal Stout,45.0,2013
Oatmeal Stout,35.0,2014
Oatmeal Stout,9.0,2015
Oatmeal Stout,1.0,2016
Imperial Red,3.0,1980
Imperial Red,1.0,1981
Imperial Red,0.0,1982
Imperial Red,0.0,1983
Imperial Red,2.0,1984
Imperial Red,4.0,1985
Imperial Red,3.0,1986
Imperial Red,3.0,1987
Imperial Red,7.0,1988
Imperial Red,3.0,1989
Imperial Red,0.0,1990
Imperial Red,1.0,1991
Imperial Red,2.0,1992
Imperial Red,2.0,1993
Imperial Red,5.0,1994
Imperial Red,6.0,1995
Imperial Red,8.0,1996
Imperial Red,9.0,1997
Imperial Red,3.0,1998
Imperial Red,1.0,1999
Imperial Red,7.0,2000
Imperial Red,1.0,2001
Imperial Red,1.0,2002
Imperial Red,1.0,2003
Imperial Red,4.0,2004
Imperial Red,1.0,2005
Imperial Red,12.0,2006
Imperial Red,7.0,2007
Imperial Red,14.0,2008
Imperial Red,13.0,2009
Imperial Red,18.0,2010
Imperial Red,33.0,2011
Imperial Red,33.0,2012
Imperial Red,22.0,2013
Imperial Red,12.0,2014
Imperial Red,9.0,2015
Imperial Red,1.0,2016
Spice Beer,0.0,1980
Spice Beer,1.0,1981
Spice Beer,0.0,1982
Spice Beer,2.0,1983
Spice Beer,9.0,1984
Spice Beer,1.0,1985
Spice Beer,12.0,1986
Spice Beer,6.0,1987
Spice Beer,15.0,1988
Spice Beer,17.0,1989
Spice Beer,11.0,1990
Spice Beer,1.0,1991
Spice Beer,5.0,1992
Spice Beer,12.0,1993
Spice Beer,33.0,1994
Spice Beer,52.0,1995
Spice Beer,25.0,1996
Spice Beer,20.0,1997
Spice Beer,9.0,1998
Spice Beer,9.0,1999
Spice Beer,5.0,2000
Spice Beer,7.0,2001
Spice Beer,9.0,2002
Spice Beer,2.0,2003
Spice Beer,16.0,2004
Spice Beer,10.0,2005
Spice Beer,24.0,2006
Spice Beer,16.0,2007
Spice Beer,28.0,2008
Spice Beer,33.0,2009
Spice Beer,50.0,2010
Spice Beer,72.0,2011
Spice Beer,63.0,2012
Spice Beer,33.0,2013
Spice Beer,25.0,2014
Spice Beer,6.0,2015
Spice Beer,1.0,2016
Belgian Dubbel,1.0,1980
Belgian Dubbel,0.0,1981
Belgian Dubbel,1.0,1982
Belgian Dubbel,1.0,1983
Belgian Dubbel,1.0,1984
Belgian Dubbel,2.0,1985
Belgian Dubbel,1.0,1986
Belgian Dubbel,1.0,1987
Belgian Dubbel,6.0,1988
Belgian Dubbel,4.0,1989
Belgian Dubbel,1.0,1990
Belgian Dubbel,0.0,1991
Belgian Dubbel,1.0,1992
Belgian Dubbel,1.0,1993
Belgian Dubbel,10.0,1994
Belgian Dubbel,11.0,1995
Belgian Dubbel,10.0,1996
Belgian Dubbel,9.0,1997
Belgian Dubbel,4.0,1998
Belgian Dubbel,5.0,1999
Belgian Dubbel,1.0,2000
Belgian Dubbel,3.0,2001
Belgian Dubbel,3.0,2002
Belgian Dubbel,1.0,2003
Belgian Dubbel,2.0,2004
Belgian Dubbel,7.0,2005
Belgian Dubbel,6.0,2006
Belgian Dubbel,9.0,2007
Belgian Dubbel,12.0,2008
Belgian Dubbel,13.0,2009
Belgian Dubbel,31.0,2010
Belgian Dubbel,37.0,2011
Belgian Dubbel,28.0,2012
Belgian Dubbel,28.0,2013
Belgian Dubbel,22.0,2014
Belgian Dubbel,5.0,2015
Belgian Dubbel,3.0,2016
German Pilsener,0.0,1980
